"","x"
"2035",290770
"2036",291753
"2037",106614
"2038",793
"2039",28218
"2040",161077
"2041",126599
"2042",108093
"2043",109242
"2044",291881
"2045",124687
"2046",298746
"2047",171976
"2048",114236
"2049",122258
"2050",327885
"2051",119919
"2052",310510
"2053",158837
"2054",312403
"2055",297384
"2056",161603
"2057",112178
"2058",145331
"2059",150040
"2060",327891
"2061",282958
"2062",148114
"2063",318392
"2064",311351
"2065",8052
"2066",113965
"2067",321865
"2068",297876
"2069",302088
"2070",160338
"2071",314889
"2072",109834
"2073",157450
"2074",116604
"2075",314365
"2076",145488
"2077",165855
"2078",141201
"2079",289256
"2080",305418
"2081",291645
"2082",281532
"2083",104626
"2084",285972
"2085",171163
"2086",137433
"2087",156610
"2088",18975
"2089",327575
"2090",284608
"2091",169792
"2092",138077
"2093",297987
"2094",112161
"2095",118884
"2096",127701
"2097",124293
"2098",171959
"2099",323228
"2100",310819
"2101",110637
"2102",322287
"2103",322865
"2104",287718
"2105",203513
"2106",317391
"2107",141092
"2108",314668
"2109",315010
"2110",318415
"2111",315131
"2112",324144
"2113",113204
"2114",300927
"2115",281851
"2116",164666
"2117",292551
"2118",322925
"2119",327832
"2120",158528
"2121",160407
"2122",142889
"2123",311850
"2124",324763
"2125",171787
"2126",151298
"2127",170737
"2128",113556
"2129",314640
"2130",321272
"2131",149937
"2132",285560
"2133",108426
"2134",318069
"2135",301191
"2136",313897
"2137",326917
"2138",287758
"2139",310125
